% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
186 -2.508738e-05 -1.133498e-05 -1.666836e-05 1.564193e-06 1.031852e-05 1.765599e-09  0.12513  1.65064 100.00000
187 -9.001075e-07 -1.715129e-07 -6.349840e-06 7.515801e-09 -1.268884e-24 1.399433e-11  6.41895 100.00000 100.00000
188 -1.046779e-05 -5.945635e-06 -7.690574e-06 2.496514e-07 1.340734e-06 5.045634e-10  0.30813  3.34681 100.00000
189 -1.217944e-06 -4.744057e-07 -6.349840e-06 8.320148e-09 -3.913586e-24 1.915633e-11  3.92371 100.00000 100.00000
190 -1.035645e-06 -2.940961e-07 -6.349840e-06 7.904843e-09 -3.989912e-24 1.571129e-11  5.05403 100.00000 100.00000
191 -5.433650e-07 2.058235e-08 -6.349840e-06 5.492558e-09 -5.588106e-25 1.124259e-11 33.91913 100.00000 100.00000
192 -3.796501e-05 -1.560414e-05 -3.203784e-05 3.693522e-06 2.568800e-05 3.359744e-09  0.08215  1.16901 100.00000
193 -3.139961e-07 2.096937e-08 -6.349840e-06 3.238758e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
194 -8.924984e-06 -5.285593e-06 -7.248738e-06 1.777531e-07 8.988980e-07 4.062122e-10  0.36434  3.81324 100.00000
195 -1.137722e-06 -3.931479e-07 -6.349840e-06 8.150397e-09 -3.948111e-24 1.746519e-11  4.35310 100.00000 100.00000
196 -7.470060e-06 -4.626985e-06 -6.915844e-06 1.213419e-07 5.660035e-07 3.197469e-10  0.44002  4.42315 100.00000
197 -5.839373e-06 -3.829618e-06 -6.636678e-06 7.115064e-08 2.868377e-07 2.301441e-10  0.57346  5.47128 100.00000
198 -4.438433e-07 2.477218e-08 -6.349840e-06 4.540355e-09 -2.194978e-24     NaN 65.74306 100.00000 100.00000
